geoid,state,language,speakers,percent
04000US01,Alabama,Spanish,156752,3.333699840686272
04000US01,Alabama,French,6515,0.138556793291767
04000US01,Alabama,Haitian,1100,0.023394086357781074
04000US01,Alabama,Italian,1345,0.02860458741019595
04000US01,Alabama,Portuguese,2546,0.05414667624264602
04000US01,Alabama,German,8607,0.18304809207401973
04000US01,Alabama,"Yiddish, Pennsylvania Dutch or other West Germanic languages",741,0.015759107264650705
04000US01,Alabama,Greek,781,0.016609801314024564
04000US01,Alabama,Russian,1995,0.04242836571252113
04000US01,Alabama,Polish,364,0.0077413158493021
04000US01,Alabama,Serbo-Croatian,334,0.007103295312271708
04000US01,Alabama,Ukrainian or other Slavic languages,813,0.01729035655352365
04000US01,Alabama,Armenian,24,5.104164296243144e-4
04000US01,Alabama,Persian,1031,0.021926639122611172
04000US01,Alabama,Gujarati,3019,0.06420613337649188
04000US01,Alabama,Hindi,2952,0.06278122084379066
04000US01,Alabama,Urdu,1903,0.04047176939896126
04000US01,Alabama,Punjabi,507,0.010782547075813642
04000US01,Alabama,Bengali,973,0.020693132751019076
04000US01,Alabama,"Nepali, Marathi, or other Indic languages",1938,0.04121612669216339
04000US01,Alabama,Other Indo-European languages,1529,0.03251778003731569
04000US01,Alabama,Telugu,1609,0.034219168136063405
04000US01,Alabama,Tamil,448,0.009527773352987202
04000US01,Alabama,"Malayalam, Kannada, or other Dravidian languages",508,0.010803814427047987
04000US01,Alabama,Chinese,10450,0.2222438203989202
04000US01,Alabama,Japanese,2411,0.05127558382600925
04000US01,Alabama,Korean,10578,0.22496604135691656
04000US01,Alabama,Hmong,90,0.001914061611091179
04000US01,Alabama,Vietnamese,8563,0.1821123286197085
04000US01,Alabama,Khmer,583,0.01239886576962397
04000US01,Alabama,"Thai, Lao, or other Tai-Kadai languages",1895,0.04030163058908649
04000US01,Alabama,Other languages of Asia,773,0.016439662504149792
04000US01,Alabama,Tagalog,3401,0.07233026154801221
04000US01,Alabama,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",980,0.020842004209659502
04000US01,Alabama,Arabic,5442,0.11573692541731327
04000US01,Alabama,Hebrew,237,0.005040362242540104
