geoid,name,Total,Speak only English,Spanish,French,Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,Persian,Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages",Chinese,Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages
04000US01,Alabama,4702043,4452423,156752,6515,1100,1345,2546,8607,741,781,1995,364,334,813,24,1031,3019,2952,1903,507,973,1938,1529,1609,448,508,10450,2411,10578,90,8563,583,1895,773,3401,980,5442,237,419,1465,2075,21,587,1316
04000US02,Alaska,685160,578236,23629,2115,485,306,481,2819,335,18,3811,401,430,791,0,135,0,133,353,33,31,428,1036,19,202,19,1732,1488,3747,4097,719,144,1843,245,18273,5873,1329,137,282,500,653,65,27126,661
04000US04,Arizona,6666597,4893977,1342767,16825,1037,7058,4639,16731,3181,2620,6866,5651,7759,4464,1639,6928,5082,14535,3169,3833,3899,6305,13256,8261,6374,3252,33976,6918,9687,97,21100,1785,4292,4549,25839,7078,21347,2982,10722,4244,9769,80932,26780,4392
04000US05,Arkansas,2821729,2605314,155476,3603,260,466,1102,3841,1146,146,654,517,134,679,68,403,1097,1910,962,478,825,808,1132,2040,854,483,5345,939,2082,1602,4701,284,5366,714,2989,8009,2503,210,123,1029,424,8,546,457
04000US06,California,37105016,20833290,10514821,126338,7878,53954,91042,93471,26359,19783,170508,21304,20022,41606,195413,211089,51662,203238,54569,142450,30223,58552,75233,67956,60594,37709,1259668,136009,358018,74317,556398,67756,75646,65969,780024,120223,198914,44540,63318,34305,16547,1043,5841,37418
04000US08,Colorado,5398930,4521381,600603,18560,1108,4000,6636,22837,2829,2056,16023,4946,3078,3953,906,4733,1500,7445,1927,1323,1839,8780,7089,3483,3385,2441,23735,6443,13302,2574,21143,2160,3861,7261,8072,5279,14292,2279,16402,6556,4252,2305,1738,4415
04000US09,Connecticut,3423208,2659094,413847,22346,15601,25308,38158,8240,2225,8607,10078,30111,4780,5896,715,2234,7381,12829,7170,1455,6581,4349,16853,5336,6431,2811,30624,3635,6135,55,8450,2413,3818,3150,7842,1256,12190,2163,1246,8558,2647,14,1012,9564
04000US10,Delaware,927658,800419,66429,3340,5023,1430,780,2041,3056,1126,981,766,202,673,0,515,2485,3245,1075,214,1558,569,633,1801,2130,886,8408,505,1523,0,1752,82,394,1086,3168,96,2435,188,354,2740,1917,0,45,1588
04000US11,District of Columbia,640196,529357,57933,7779,639,1776,1792,2273,409,680,2111,330,404,984,327,1361,356,1346,343,189,752,515,1352,200,529,295,5607,1029,1797,0,1484,178,156,669,1190,544,2414,803,6319,2151,757,0,58,1008
04000US12,Florida,20220968,14190713,4469836,103031,426024,44574,140484,61214,18402,18072,59578,25167,19336,20468,2232,10540,22595,29043,15445,2544,14153,11155,41624,14257,10313,12133,75622,13038,18279,1236,69705,5006,14618,16098,68067,9261,65876,21863,4461,10932,5292,179,1451,37051
